z_Rp,density_g_cm3,pressure_dyn_cm2,temperature_K,tau,velocity_km_s
-16.458944281524925,3.506561705473841e-20,5.630574645989158e-07,251098.19376869107,4.2074495116741676e-07,357.42402052962007
-16.385630498533722,3.506561705473841e-20,5.630574645989158e-07,251098.19376869107,4.2074495116741676e-07,357.42402052962007
-16.312316715542522,3.506561705473841e-20,5.630574645989158e-07,251098.19376869107,4.2074495116741676e-07,357.42402052962007
-16.23900293255132,3.506561705473841e-20,5.630574645989158e-07,251098.19376869107,4.2074495116741676e-07,357.42402052962007
-16.165689149560116,3.506561705473841e-20,5.630574645989158e-07,251098.19376869107,4.2074495116741676e-07,357.42402052962007
-16.092375366568913,3.506561705473841e-20,5.630574645989158e-07,251098.19376869107,4.2074495116741676e-07,357.42402052962007
-16.019061583577713,3.506561705473841e-20,5.630574645989158e-07,251098.19376869107,4.2074495116741676e-07,357.42402052962007
-15.94574780058651,3.506561705473841e-20,5.630574645989158e-07,251098.19376869107,4.2074495116741676e-07,357.42402052962007
-15.872434017595307,3.5031138297276635e-20,5.621305994250796e-07,250931.58575570982,4.293828488656725e-07,357.4333500061608
-15.799120234604104,3.5031138297276635e-20,5.621305994250796e-07,250931.58575570982,4.293828488656725e-07,357.4333500061608
-15.7258064516129,3.5031138297276635e-20,5.621305994250796e-07,250931.58575570982,4.293828488656725e-07,357.4333500061608
-15.6524926686217,3.5031138297276635e-20,5.621305994250796e-07,250931.58575570982,4.293828488656725e-07,357.4333500061608
-15.579178885630498,3.5031138297276635e-20,5.621305994250796e-07,250931.58575570982,4.293828488656725e-07,357.4333500061608
-15.505865102639294,3.5031138297276635e-20,5.621305994250796e-07,250931.58575570982,4.293828488656725e-07,357.4333500061608
-15.432551319648091,3.5031138297276635e-20,5.621305994250796e-07,250931.58575570982,4.293828488656725e-07,357.4333500061608
-15.359237536656892,3.5031138297276635e-20,5.621305994250796e-07,250931.58575570982,4.293828488656725e-07,357.4333500061608
-15.285923753665688,3.49965939890795e-20,5.612022802740667e-07,250764.46946819886,4.378975134263109e-07,357.4428731208396
-15.212609970674485,3.49965939890795e-20,5.612022802740667e-07,250764.46946819886,4.378975134263109e-07,357.4428731208396
-15.139296187683282,3.49965939890795e-20,5.612022802740667e-07,250764.46946819886,4.378975134263109e-07,357.4428731208396
-15.065982404692082,3.49965939890795e-20,5.612022802740667e-07,250764.46946819886,4.378975134263109e-07,357.4428731208396
-14.99266862170088,3.49965939890795e-20,5.612022802740667e-07,250764.46946819886,4.378975134263109e-07,357.4428731208396
-14.919354838709676,3.49965939890795e-20,5.612022802740667e-07,250764.46946819886,4.378975134263109e-07,357.4428731208396
-14.846041055718473,3.49965939890795e-20,5.612022802740667e-07,250764.46946819886,4.378975134263109e-07,357.4428731208396
-14.77272727272727,3.49965939890795e-20,5.612022802740667e-07,250764.46946819886,4.378975134263109e-07,357.4428731208396
-14.69941348973607,3.49965939890795e-20,5.612022802740667e-07,250764.46946819886,4.378975134263109e-07,357.4428731208396
-14.626099706744867,3.496221400551158e-20,5.602791346058247e-07,250598.15908284925,4.462897924564099e-07,357.45260302336794
-14.552785923753664,3.496221400551158e-20,5.602791346058247e-07,250598.15908284925,4.462897924564099e-07,357.45260302336794
-14.47947214076246,3.496221400551158e-20,5.602791346058247e-07,250598.15908284925,4.462897924564099e-07,357.45260302336794
-14.406158357771261,3.496221400551158e-20,5.602791346058247e-07,250598.15908284925,4.462897924564099e-07,357.45260302336794
-14.332844574780058,3.496221400551158e-20,5.602791346058247e-07,250598.15908284925,4.462897924564099e-07,357.45260302336794
-14.259530791788855,3.496221400551158e-20,5.602791346058247e-07,250598.15908284925,4.462897924564099e-07,357.45260302336794
-14.186217008797652,3.496221400551158e-20,5.602791346058247e-07,250598.15908284925,4.462897924564099e-07,357.45260302336794
-14.112903225806452,3.496221400551158e-20,5.602791346058247e-07,250598.15908284925,4.462897924564099e-07,357.45260302336794
-14.039589442815249,3.492808746194905e-20,5.593634019645149e-07,250433.02304195584,4.5456264455010605e-07,357.46255211835285
-13.966275659824046,3.492808746194905e-20,5.593634019645149e-07,250433.02304195584,4.5456264455010605e-07,357.46255211835285
-13.892961876832842,3.492808746194905e-20,5.593634019645149e-07,250433.02304195584,4.5456264455010605e-07,357.46255211835285
-13.81964809384164,3.492808746194905e-20,5.593634019645149e-07,250433.02304195584,4.5456264455010605e-07,357.46255211835285
-13.74633431085044,3.492808746194905e-20,5.593634019645149e-07,250433.02304195584,4.5456264455010605e-07,357.46255211835285
-13.673020527859236,3.492808746194905e-20,5.593634019645149e-07,250433.02304195584,4.5456264455010605e-07,357.46255211835285
-13.599706744868033,3.492808746194905e-20,5.593634019645149e-07,250433.02304195584,4.5456264455010605e-07,357.46255211835285
-13.52639296187683,3.492808746194905e-20,5.593634019645149e-07,250433.02304195584,4.5456264455010605e-07,357.46255211835285
-13.45307917888563,3.4894186640219276e-20,5.584541084038536e-07,250268.83072042052,4.627167613741464e-07,357.472741088803
-13.379765395894427,3.4894186640219276e-20,5.584541084038536e-07,250268.83072042052,4.627167613741464e-07,357.472741088803
-13.306451612903224,3.4894186640219276e-20,5.584541084038536e-07,250268.83072042052,4.627167613741464e-07,357.472741088803
-13.233137829912021,3.4894186640219276e-20,5.584541084038536e-07,250268.83072042052,4.627167613741464e-07,357.472741088803
-13.159824046920821,3.4894186640219276e-20,5.584541084038536e-07,250268.83072042052,4.627167613741464e-07,357.472741088803
-13.086510263929618,3.4894186640219276e-20,5.584541084038536e-07,250268.83072042052,4.627167613741464e-07,357.472741088803
-13.013196480938415,3.4894186640219276e-20,5.584541084038536e-07,250268.83072042052,4.627167613741464e-07,357.472741088803
-12.939882697947212,3.4894186640219276e-20,5.584541084038536e-07,250268.83072042052,4.627167613741464e-07,357.472741088803
-12.866568914956009,3.4894186640219276e-20,5.584541084038536e-07,250268.83072042052,4.627167613741464e-07,357.472741088803
-12.79325513196481,3.4860501292056533e-20,5.575513056236445e-07,250105.68477819784,4.707551319639296e-07,357.48320783995115
-12.719941348973606,3.4860501292056533e-20,5.575513056236445e-07,250105.68477819784,4.707551319639296e-07,357.48320783995115
-12.646627565982403,3.4860501292056533e-20,5.575513056236445e-07,250105.68477819784,4.707551319639296e-07,357.48320783995115
-12.5733137829912,3.4860501292056533e-20,5.575513056236445e-07,250105.68477819784,4.707551319639296e-07,357.48320783995115
-12.5,3.4860501292056533e-20,5.575513056236445e-07,250105.68477819784,4.707551319639296e-07,357.48320783995115
-12.426686217008797,3.4860501292056533e-20,5.575513056236445e-07,250105.68477819784,4.707551319639296e-07,357.48320783995115
-12.353372434017594,3.4860501292056533e-20,5.575513056236445e-07,250105.68477819784,4.707551319639296e-07,357.48320783995115
-12.28005865102639,3.4860501292056533e-20,5.575513056236445e-07,250105.68477819784,4.707551319639296e-07,357.48320783995115
-12.20674486803519,3.482699995816664e-20,5.566537432514181e-07,249943.2556240689,4.786782777822824e-07,357.49399019879826
-12.133431085043988,3.482699995816664e-20,5.566537432514181e-07,249943.2556240689,4.786782777822824e-07,357.49399019879826
-12.060117302052785,3.482699995816664e-20,5.566537432514181e-07,249943.2556240689,4.786782777822824e-07,357.49399019879826
-11.986803519061581,3.482699995816664e-20,5.566537432514181e-07,249943.2556240689,4.786782777822824e-07,357.49399019879826
